iter,L_cont,L_mom,loss
4.100000000000000000e+01,2.590294182300567627e-01,1.473858261108398438e+01,1.499761199951171875e+01
4.200000000000000000e+01,2.116761654615402222e-01,1.533078193664550781e+01,1.554245853424072266e+01
4.300000000000000000e+01,1.911132931709289551e-01,1.519612121582031250e+01,1.538723468780517578e+01
4.400000000000000000e+01,1.950576305389404297e-01,1.224846172332763672e+01,1.244351959228515625e+01
4.500000000000000000e+01,2.327718585729598999e-01,1.154406642913818359e+01,1.177683830261230469e+01
4.600000000000000000e+01,2.564775645732879639e-01,1.192599678039550781e+01,1.218247413635253906e+01
4.700000000000000000e+01,2.496501058340072632e-01,9.754150390625000000e+00,1.000380039215087891e+01
4.800000000000000000e+01,2.040157765150070190e-01,1.017165851593017578e+01,1.037567424774169922e+01
4.900000000000000000e+01,1.775487512350082397e-01,1.040960788726806641e+01,1.058715629577636719e+01
5.000000000000000000e+01,1.752905696630477905e-01,8.026609420776367188e+00,8.201899528503417969e+00
5.100000000000000000e+01,2.173731178045272827e-01,9.374970436096191406e+00,9.592343330383300781e+00
5.200000000000000000e+01,2.398718148469924927e-01,1.118192768096923828e+01,1.142179965972900391e+01
5.300000000000000000e+01,2.332337498664855957e-01,8.315253257751464844e+00,8.548486709594726562e+00
5.400000000000000000e+01,2.035801261663436890e-01,5.918279647827148438e+00,6.121859550476074219e+00
5.500000000000000000e+01,2.051934599876403809e-01,5.877134799957275391e+00,6.082328319549560547e+00
5.600000000000000000e+01,2.276237756013870239e-01,5.174727916717529297e+00,5.402351856231689453e+00
5.700000000000000000e+01,2.068250328302383423e-01,4.727591514587402344e+00,4.934416770935058594e+00
5.800000000000000000e+01,2.336296290159225464e-01,4.798384189605712891e+00,5.032013893127441406e+00
5.900000000000000000e+01,2.374995350837707520e-01,4.347758769989013672e+00,4.585258483886718750e+00
6.000000000000000000e+01,1.815961599349975586e-01,4.051900863647460938e+00,4.233497142791748047e+00
6.100000000000000000e+01,1.757085323333740234e-01,3.891811370849609375e+00,4.067520141601562500e+00
6.200000000000000000e+01,2.082991003990173340e-01,3.596760749816894531e+00,3.805059909820556641e+00
6.300000000000000000e+01,1.903467029333114624e-01,3.240977048873901367e+00,3.431323766708374023e+00
6.400000000000000000e+01,1.934761703014373779e-01,3.386774063110351562e+00,3.580250263214111328e+00
6.500000000000000000e+01,2.144807875156402588e-01,3.109115839004516602e+00,3.323596715927124023e+00
6.600000000000000000e+01,1.831684559583663940e-01,3.481403112411499023e+00,3.664571523666381836e+00
6.700000000000000000e+01,1.565574854612350464e-01,3.494472265243530273e+00,3.651029825210571289e+00
6.800000000000000000e+01,1.497025042772293091e-01,3.025373458862304688e+00,3.175076007843017578e+00
6.900000000000000000e+01,1.837470531463623047e-01,2.981459856033325195e+00,3.165206909179687500e+00
7.000000000000000000e+01,2.317882180213928223e-01,3.317308425903320312e+00,3.549096584320068359e+00
7.100000000000000000e+01,2.276266366243362427e-01,3.126723527908325195e+00,3.354350090026855469e+00
7.200000000000000000e+01,1.844370514154434204e-01,2.137527227401733398e+00,2.321964263916015625e+00
7.300000000000000000e+01,1.677115410566329956e-01,3.214180707931518555e+00,3.381892204284667969e+00
7.400000000000000000e+01,1.899020820856094360e-01,3.580858230590820312e+00,3.770760297775268555e+00
7.500000000000000000e+01,2.452602088451385498e-01,2.734971761703491211e+00,2.980232000350952148e+00
7.600000000000000000e+01,3.072357177734375000e-01,5.402363300323486328e+00,5.709599018096923828e+00
7.700000000000000000e+01,3.224416673183441162e-01,7.879296779632568359e+00,8.201738357543945312e+00
7.800000000000000000e+01,2.906058132648468018e-01,5.462681293487548828e+00,5.753287315368652344e+00
7.900000000000000000e+01,2.274910062551498413e-01,2.253754377365112305e+00,2.481245279312133789e+00
8.000000000000000000e+01,1.533483713865280151e-01,6.248143672943115234e+00,6.401492118835449219e+00
8.100000000000000000e+01,1.240001544356346130e-01,1.101150321960449219e+01,1.113550376892089844e+01
8.200000000000000000e+01,1.188786253333091736e-01,1.053341388702392578e+01,1.065229225158691406e+01
8.300000000000000000e+01,1.337748914957046509e-01,5.740788936614990234e+00,5.874563694000244141e+00
8.400000000000000000e+01,1.745002418756484985e-01,2.022692680358886719e+00,2.197192907333374023e+00
8.500000000000000000e+01,2.887106835842132568e-01,7.325507640838623047e+00,7.614218235015869141e+00
8.600000000000000000e+01,3.922487795352935791e-01,1.461383914947509766e+01,1.500608825683593750e+01
8.700000000000000000e+01,4.472760558128356934e-01,1.470635128021240234e+01,1.515362739562988281e+01
8.800000000000000000e+01,4.403459131717681885e-01,8.419323921203613281e+00,8.859669685363769531e+00
8.900000000000000000e+01,3.809397518634796143e-01,2.975814580917358398e+00,3.356754302978515625e+00
9.000000000000000000e+01,2.794120311737060547e-01,5.998136997222900391e+00,6.277548789978027344e+00
9.100000000000000000e+01,2.314266711473464966e-01,1.146555900573730469e+01,1.169698524475097656e+01
9.200000000000000000e+01,2.159648835659027100e-01,1.295172023773193359e+01,1.316768550872802734e+01
9.300000000000000000e+01,2.250744551420211792e-01,9.957028388977050781e+00,1.018210315704345703e+01
9.400000000000000000e+01,2.590673863887786865e-01,4.904818058013916016e+00,5.163885593414306641e+00
9.500000000000000000e+01,3.255499899387359619e-01,3.160293102264404297e+00,3.485843181610107422e+00
9.600000000000000000e+01,3.514758646488189697e-01,5.301065444946289062e+00,5.652541160583496094e+00
9.700000000000000000e+01,3.321267962455749512e-01,5.316677093505859375e+00,5.648803710937500000e+00
9.800000000000000000e+01,2.767189741134643555e-01,3.001746892929077148e+00,3.278465747833251953e+00
9.900000000000000000e+01,2.018536031246185303e-01,2.569541215896606445e+00,2.771394729614257812e+00
1.000000000000000000e+02,1.678958833217620850e-01,3.407687664031982422e+00,3.575583457946777344e+00
