iter,L_cont,L_mom,loss
2.200000000000000000e+01,6.570058345794677734e+00,3.850577545166015625e+01,4.507583236694335938e+01
2.300000000000000000e+01,5.744277954101562500e+00,2.147420692443847656e+01,2.721848487854003906e+01
2.400000000000000000e+01,5.045730590820312500e+00,1.706370162963867188e+01,2.210943222045898438e+01
2.500000000000000000e+01,4.157700538635253906e+00,1.721098327636718750e+01,2.136868286132812500e+01
2.600000000000000000e+01,3.361143827438354492e+00,1.776229286193847656e+01,2.112343597412109375e+01
2.700000000000000000e+01,2.998970508575439453e+00,1.692653656005859375e+01,1.992550659179687500e+01
2.800000000000000000e+01,2.877285480499267578e+00,1.537872123718261719e+01,1.825600624084472656e+01
2.900000000000000000e+01,2.562663316726684570e+00,1.404136657714843750e+01,1.660403060913085938e+01
3.000000000000000000e+01,2.197999238967895508e+00,1.281131839752197266e+01,1.500931739807128906e+01
3.100000000000000000e+01,2.224596977233886719e+00,1.100378608703613281e+01,1.322838306427001953e+01
3.200000000000000000e+01,2.267428636550903320e+00,9.750581741333007812e+00,1.201801013946533203e+01
3.300000000000000000e+01,2.145458698272705078e+00,9.018115043640136719e+00,1.116357421875000000e+01
3.400000000000000000e+01,2.124691486358642578e+00,8.096580505371093750e+00,1.022127151489257812e+01
3.500000000000000000e+01,1.842056632041931152e+00,7.522745609283447266e+00,9.364802360534667969e+00
3.600000000000000000e+01,1.705260753631591797e+00,7.058253288269042969e+00,8.763513565063476562e+00
3.700000000000000000e+01,1.481482625007629395e+00,7.198552131652832031e+00,8.680034637451171875e+00
3.800000000000000000e+01,1.632102847099304199e+00,6.542090892791748047e+00,8.174193382263183594e+00
3.900000000000000000e+01,1.819684028625488281e+00,6.433535575866699219e+00,8.253219604492187500e+00
4.000000000000000000e+01,1.646808385848999023e+00,6.116646289825439453e+00,7.763454437255859375e+00
4.100000000000000000e+01,1.569205880165100098e+00,5.932296276092529297e+00,7.501502037048339844e+00
4.200000000000000000e+01,1.596504807472229004e+00,5.772974491119384766e+00,7.369479179382324219e+00
4.300000000000000000e+01,1.299763917922973633e+00,5.665750503540039062e+00,6.965514183044433594e+00
4.400000000000000000e+01,1.289921522140502930e+00,5.494197368621826172e+00,6.784118652343750000e+00
4.500000000000000000e+01,1.178254246711730957e+00,5.566020965576171875e+00,6.744275093078613281e+00
4.600000000000000000e+01,1.354758501052856445e+00,5.356354236602783203e+00,6.711112976074218750e+00
4.700000000000000000e+01,1.257212400436401367e+00,5.271625995635986328e+00,6.528838157653808594e+00
4.800000000000000000e+01,1.154910087585449219e+00,5.339161396026611328e+00,6.494071483612060547e+00
4.900000000000000000e+01,1.297067284584045410e+00,5.672286033630371094e+00,6.969353199005126953e+00
5.000000000000000000e+01,1.200359702110290527e+00,5.384060859680175781e+00,6.584420680999755859e+00
5.100000000000000000e+01,9.667395353317260742e-01,6.053701877593994141e+00,7.020441532135009766e+00
5.200000000000000000e+01,1.012017130851745605e+00,5.754233837127685547e+00,6.766251087188720703e+00
5.300000000000000000e+01,1.312485098838806152e+00,5.264008045196533203e+00,6.576493263244628906e+00
5.400000000000000000e+01,1.336330413818359375e+00,5.233384132385253906e+00,6.569714546203613281e+00
5.500000000000000000e+01,1.083249807357788086e+00,5.132447719573974609e+00,6.215697288513183594e+00
5.600000000000000000e+01,1.059187173843383789e+00,4.948941230773925781e+00,6.008128166198730469e+00
5.700000000000000000e+01,1.240624070167541504e+00,5.237701892852783203e+00,6.478325843811035156e+00
5.800000000000000000e+01,1.179059624671936035e+00,5.113376140594482422e+00,6.292435646057128906e+00
5.900000000000000000e+01,9.424967169761657715e-01,4.773164272308349609e+00,5.715661048889160156e+00
6.000000000000000000e+01,1.012206196784973145e+00,4.424780845642089844e+00,5.436986923217773438e+00
6.100000000000000000e+01,1.328041315078735352e+00,4.993584156036376953e+00,6.321625709533691406e+00
6.200000000000000000e+01,1.366479516029357910e+00,4.788345813751220703e+00,6.154825210571289062e+00
6.300000000000000000e+01,1.117967009544372559e+00,3.820872545242309570e+00,4.938839435577392578e+00
6.400000000000000000e+01,8.812024593353271484e-01,3.900032281875610352e+00,4.781234741210937500e+00
6.500000000000000000e+01,9.112007021903991699e-01,3.775482416152954102e+00,4.686683177947998047e+00
6.600000000000000000e+01,8.819624781608581543e-01,3.534684658050537109e+00,4.416646957397460938e+00
6.700000000000000000e+01,8.113504648208618164e-01,3.119246006011962891e+00,3.930596351623535156e+00
