iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.035744696855545044e-02,2.472990722656250000e+02,2.473094329833984375e+02,0.000000000000000000e+00,5.798959359526634216e-02,1.423368230462074280e-02,1.190216615796089172e-01,4.864779710769653320e-01,1.194071620702743530e-01,9.984794259071350098e-01
1.000000000000000000e+00,1.153375371359288692e-03,2.118643798828125000e+02,2.118655395507812500e+02,0.000000000000000000e+00,5.791413038969039917e-02,1.424647215753793716e-02,1.188848838210105896e-01,4.859271347522735596e-01,1.194092556834220886e-01,9.982107877731323242e-01
2.000000000000000000e+00,6.277382373809814453e-03,2.096979980468750000e+02,2.097042694091796875e+02,0.000000000000000000e+00,5.788723379373550415e-02,1.425281446427106857e-02,1.187223121523857117e-01,4.857130944728851318e-01,1.193571314215660095e-01,9.970984458923339844e-01
3.000000000000000000e+00,8.212282322347164154e-03,2.015048370361328125e+02,2.015130462646484375e+02,0.000000000000000000e+00,5.788343399763107300e-02,1.422627922147512436e-02,1.184487640857696533e-01,4.857857823371887207e-01,1.191616952419281006e-01,9.957595467567443848e-01
4.000000000000000000e+00,9.089302271604537964e-03,1.915280151367187500e+02,1.915371093750000000e+02,0.000000000000000000e+00,5.792296677827835083e-02,1.423270348459482193e-02,1.185848638415336609e-01,4.861892759799957275e-01,1.192729771137237549e-01,9.957355260848999023e-01
5.000000000000000000e+00,1.581794396042823792e-02,1.823577728271484375e+02,1.823735961914062500e+02,0.000000000000000000e+00,5.792967975139617920e-02,1.421311683952808380e-02,1.186123192310333252e-01,4.862939715385437012e-01,1.191810369491577148e-01,9.958078861236572266e-01
6.000000000000000000e+00,3.214991837739944458e-02,1.719143676757812500e+02,1.719465179443359375e+02,0.000000000000000000e+00,5.791227519512176514e-02,1.420522760599851608e-02,1.185633018612861633e-01,4.861721098423004150e-01,1.191960647702217102e-01,9.960875511169433594e-01
7.000000000000000000e+00,5.787174031138420105e-02,1.589134674072265625e+02,1.589713439941406250e+02,0.000000000000000000e+00,5.789449438452720642e-02,1.418955065310001373e-02,1.184700801968574524e-01,4.860256612300872803e-01,1.191493645310401917e-01,9.964712858200073242e-01
8.000000000000000000e+00,9.262973070144653320e-02,1.427998657226562500e+02,1.428925018310546875e+02,0.000000000000000000e+00,5.788740515708923340e-02,1.412272639572620392e-02,1.183721870183944702e-01,4.859524369239807129e-01,1.186719387769699097e-01,9.968302845954895020e-01
9.000000000000000000e+00,1.384350061416625977e-01,1.232347793579101562e+02,1.233732147216796875e+02,0.000000000000000000e+00,5.789487436413764954e-02,1.408604346215724945e-02,1.182708963751792908e-01,4.859855473041534424e-01,1.184428259730339050e-01,9.970732927322387695e-01
