iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.035744696855545044e-02,2.510776281356811523e+00,2.521133661270141602e+00,0.000000000000000000e+00,5.798959359526634216e-02,1.423368230462074280e-02,1.190216615796089172e-01,4.864779710769653320e-01,1.194071620702743530e-01,9.984794259071350098e-01
1.000000000000000000e+00,1.038278569467365742e-03,2.116392850875854492e+00,2.117431163787841797e+00,0.000000000000000000e+00,5.792986974120140076e-02,1.424442045390605927e-02,1.188798025250434875e-01,4.860592782497406006e-01,1.196025386452674866e-01,9.981681108474731445e-01
2.000000000000000000e+00,5.123080685734748840e-03,2.079763889312744141e+00,2.084887027740478516e+00,0.000000000000000000e+00,5.789858847856521606e-02,1.423844136297702789e-02,1.187656372785568237e-01,4.858124852180480957e-01,1.192367374897003174e-01,9.974464178085327148e-01
3.000000000000000000e+00,6.116543896496295929e-03,1.988979935646057129e+00,1.995096445083618164e+00,0.000000000000000000e+00,5.789003521203994751e-02,1.418860815465450287e-02,1.185430213809013367e-01,4.858316481113433838e-01,1.188382804393768311e-01,9.959244728088378906e-01
4.000000000000000000e+00,7.473880425095558167e-03,1.886561274528503418e+00,1.894035100936889648e+00,0.000000000000000000e+00,5.791897699236869812e-02,1.419988740235567093e-02,1.186265796422958374e-01,4.861308336257934570e-01,1.189861595630645752e-01,9.960130453109741211e-01
5.000000000000000000e+00,1.393012236803770065e-02,1.793407559394836426e+00,1.807337641716003418e+00,0.000000000000000000e+00,5.790225043892860413e-02,1.420141942799091339e-02,1.186457797884941101e-01,4.860232174396514893e-01,1.194878891110420227e-01,9.962665438652038574e-01
6.000000000000000000e+00,2.306525222957134247e-02,1.679991602897644043e+00,1.703056812286376953e+00,0.000000000000000000e+00,5.786454677581787109e-02,1.413974259048700333e-02,1.185989752411842346e-01,4.857215583324432373e-01,1.186364814639091492e-01,9.967425465583801270e-01
7.000000000000000000e+00,3.280289471149444580e-02,1.533325552940368652e+00,1.566128492355346680e+00,0.000000000000000000e+00,5.783630162477493286e-02,1.420782413333654404e-02,1.184925809502601624e-01,4.854865372180938721e-01,1.190397068858146667e-01,9.972503781318664551e-01
8.000000000000000000e+00,4.334519430994987488e-02,1.354448676109313965e+00,1.397793889045715332e+00,0.000000000000000000e+00,5.782911926507949829e-02,1.420091651380062103e-02,1.184262931346893311e-01,4.854146540164947510e-01,1.189256459474563599e-01,9.976571798324584961e-01
9.000000000000000000e+00,5.724697187542915344e-02,1.144434094429016113e+00,1.201681017875671387e+00,0.000000000000000000e+00,5.784821510314941406e-02,1.409326121211051941e-02,1.183751225471496582e-01,4.855378866195678711e-01,1.184967979788780212e-01,9.979072809219360352e-01
1.000000000000000000e+01,7.898124307394027710e-02,9.071823954582214355e-01,9.861636161804199219e-01,0.000000000000000000e+00,5.789335444569587708e-02,1.409933157265186310e-02,1.183904781937599182e-01,4.858424365520477295e-01,1.184085607528686523e-01,9.980432987213134766e-01
