re,method,status,start_time,end_time,exit_code,output_dir,stdout_log,stderr_log
1e3,hf_cfno,running,2026-06-13 21:13:02,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.err.log
1e3,hf_cfno,finished,2026-06-13 21:13:02,2026-06-13 21:19:37,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_hf_cfno.err.log
1e3,subgrid_hf_cfno,running,2026-06-13 21:19:37,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.err.log
1e3,subgrid_hf_cfno,finished,2026-06-13 21:19:37,2026-06-13 21:27:19,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e03\subgrid_hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e03_subgrid_hf_cfno.err.log
1e4,fno,running,2026-06-13 21:27:19,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.err.log
1e4,fno,finished,2026-06-13 21:27:19,2026-06-13 21:29:46,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\fno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_fno.err.log
1e4,cfno,running,2026-06-13 21:29:46,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.err.log
1e4,cfno,finished,2026-06-13 21:29:46,2026-06-13 21:34:34,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_cfno.err.log
1e4,hf_cfno,running,2026-06-13 21:34:34,,,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.err.log
1e4,hf_cfno,finished,2026-06-13 21:34:34,2026-06-13 21:40:59,0,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\Re1e04\hf_cfno,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.log,D:\Ansys\SymPhONIC\SIMPLE_P_Surrogate\reynolds_operator_search_1e2_1e7\logs\Re1e04_hf_cfno.err.log
