component(0=u_xmid,1=v_ymid),coord,ghia,pred,error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.469999999999999862e-02,-3.717000000000000165e-02,5.200805664062494387e-05,3.722200805664062362e-02
0.000000000000000000e+00,6.250000000000000000e-02,-4.191999999999999893e-02,3.700256347656250000e-04,4.229002563476562393e-02
0.000000000000000000e+00,7.030000000000000138e-02,-4.775000000000000078e-02,5.909240722656250661e-04,4.834092407226562443e-02
0.000000000000000000e+00,1.015999999999999959e-01,-6.433999999999999442e-02,2.080780029296875212e-03,6.642078002929686920e-02
0.000000000000000000e+00,1.718999999999999972e-01,-1.015000000000000069e-01,1.400425720214843774e-03,1.029004257202148498e-01
0.000000000000000000e+00,2.812999999999999945e-01,-1.566200000000000092e-01,-2.143182373046875061e-03,1.544768176269531446e-01
0.000000000000000000e+00,4.531000000000000028e-01,-2.109000000000000041e-01,-4.114042663574219057e-03,2.067859573364257963e-01
0.000000000000000000e+00,5.000000000000000000e-01,-2.058099999999999929e-01,-5.455017089843750000e-04,2.052644982910156179e-01
0.000000000000000000e+00,6.171999999999999709e-01,-1.364100000000000035e-01,-3.552716064453124295e-03,1.328572839355468826e-01
0.000000000000000000e+00,7.344000000000000528e-01,3.320000000000000034e-03,-6.007856750488278948e-03,-9.327856750488278115e-03
0.000000000000000000e+00,8.516000000000000236e-01,2.315099999999999936e-01,-4.575267028808596703e-02,-2.772626702880859328e-01
0.000000000000000000e+00,9.530999999999999472e-01,6.871699999999999475e-01,1.671212539672845554e-01,-5.200487460327154476e-01
0.000000000000000000e+00,9.608999999999999764e-01,7.372199999999999864e-01,2.708604446411129740e-01,-4.663595553588870124e-01
0.000000000000000000e+00,9.687999999999999945e-01,7.887100000000000222e-01,3.953383972167967553e-01,-3.933716027832032669e-01
0.000000000000000000e+00,9.766000000000000236e-01,8.412300000000000333e-01,5.320413467407231201e-01,-3.091886532592769132e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.250000000000000000e-02,9.232999999999999541e-02,6.990432739257812500e-02,-2.242567260742187041e-02
1.000000000000000000e+00,7.030000000000000138e-02,1.009099999999999997e-01,6.839993286132813044e-02,-3.251006713867186926e-02
1.000000000000000000e+00,7.810000000000000275e-02,1.088999999999999968e-01,6.510931854248046269e-02,-4.379068145751953411e-02
1.000000000000000000e+00,9.379999999999999449e-02,1.231700000000000017e-01,5.677127838134765625e-02,-6.639872161865234546e-02
1.000000000000000000e+00,1.562999999999999945e-01,1.607699999999999962e-01,3.141218261718749932e-02,-1.293578173828124900e-01
1.000000000000000000e+00,2.265999999999999959e-01,1.750700000000000034e-01,2.312294769287109517e-02,-1.519470523071289048e-01
1.000000000000000000e+00,2.343999999999999972e-01,1.752700000000000091e-01,2.256100616455078076e-02,-1.527089938354492249e-01
1.000000000000000000e+00,5.000000000000000000e-01,5.453999999999999820e-02,2.411746978759765625e-02,-3.042253021240234195e-02
1.000000000000000000e+00,8.046999999999999709e-01,-2.453299999999999925e-01,2.458588409423828267e-02,2.699158840942382787e-01
1.000000000000000000e+00,8.594000000000000528e-01,-2.244500000000000106e-01,1.807284240722655325e-02,2.425228424072265743e-01
1.000000000000000000e+00,9.062999999999999945e-01,-1.691400000000000126e-01,4.669947814941408440e-03,1.738099478149414123e-01
1.000000000000000000e+00,9.453000000000000291e-01,-1.031299999999999994e-01,-1.180970153808594963e-02,9.132029846191405675e-02
1.000000000000000000e+00,9.530999999999999472e-01,-8.863999999999999657e-02,-1.455096282958982454e-02,7.408903717041016856e-02
1.000000000000000000e+00,9.608999999999999764e-01,-7.391000000000000347e-02,-1.611816253662108969e-02,5.779183746337891725e-02
1.000000000000000000e+00,9.687999999999999945e-01,-5.906000000000000139e-02,-1.607134552001953168e-02,4.298865447998047318e-02
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
