iter,L_cont,L_mom,loss
8.200000000000000000e+01,2.269869297742843628e-01,1.385527014732360840e+00,1.612513899803161621e+00
8.300000000000000000e+01,2.402618825435638428e-01,1.843524575233459473e+00,2.083786487579345703e+00
8.400000000000000000e+01,2.243125438690185547e-01,1.212045550346374512e+00,1.436358094215393066e+00
8.500000000000000000e+01,1.867294609546661377e-01,1.365518569946289062e+00,1.552248001098632812e+00
8.600000000000000000e+01,1.786890178918838501e-01,1.754609346389770508e+00,1.933298349380493164e+00
8.700000000000000000e+01,1.939806640148162842e-01,1.188097238540649414e+00,1.382077932357788086e+00
8.800000000000000000e+01,2.351234406232833862e-01,1.437532424926757812e+00,1.672655820846557617e+00
8.900000000000000000e+01,2.469768673181533813e-01,1.945226430892944336e+00,2.192203283309936523e+00
9.000000000000000000e+01,2.285978198051452637e-01,1.255199313163757324e+00,1.483797073364257812e+00
9.100000000000000000e+01,1.888225674629211426e-01,1.272538185119628906e+00,1.461360692977905273e+00
9.200000000000000000e+01,1.798355579376220703e-01,1.624059438705444336e+00,1.803894996643066406e+00
9.300000000000000000e+01,1.945333331823348999e-01,1.104831337928771973e+00,1.299364686012268066e+00
9.400000000000000000e+01,2.353153973817825317e-01,1.457644462585449219e+00,1.692959904670715332e+00
9.500000000000000000e+01,2.467250525951385498e-01,1.983729481697082520e+00,2.230454444885253906e+00
9.600000000000000000e+01,2.280108183622360229e-01,1.270090222358703613e+00,1.498100996017456055e+00
9.700000000000000000e+01,1.879420429468154907e-01,1.210365653038024902e+00,1.398307681083679199e+00
9.800000000000000000e+01,1.790415048599243164e-01,1.546417236328125000e+00,1.725458741188049316e+00
9.900000000000000000e+01,1.941208392381668091e-01,1.062116622924804688e+00,1.256237506866455078e+00
1.000000000000000000e+02,2.365692704916000366e-01,1.472524046897888184e+00,1.709093332290649414e+00
1.010000000000000000e+02,2.498460263013839722e-01,2.002657890319824219e+00,2.252503871917724609e+00
1.020000000000000000e+02,2.320173680782318115e-01,1.259903311729431152e+00,1.491920709609985352e+00
1.030000000000000000e+02,1.914157420396804810e-01,1.155438899993896484e+00,1.346854686737060547e+00
1.040000000000000000e+02,1.820029914379119873e-01,1.486631870269775391e+00,1.668634891510009766e+00
1.050000000000000000e+02,1.968573778867721558e-01,1.023486375808715820e+00,1.220343708992004395e+00
1.060000000000000000e+02,2.383954077959060669e-01,1.467382192611694336e+00,1.705777645111083984e+00
1.070000000000000000e+02,2.496047765016555786e-01,1.999231576919555664e+00,2.248836278915405273e+00
1.080000000000000000e+02,2.297725528478622437e-01,1.249688863754272461e+00,1.479461431503295898e+00
1.090000000000000000e+02,1.884831190109252930e-01,1.124425292015075684e+00,1.312908411026000977e+00
1.100000000000000000e+02,1.793529838323593140e-01,1.449896574020385742e+00,1.629249572753906250e+00
1.110000000000000000e+02,1.948611736297607422e-01,9.964115023612976074e-01,1.191272735595703125e+00
1.120000000000000000e+02,2.374106943607330322e-01,1.447002649307250977e+00,1.684413313865661621e+00
1.130000000000000000e+02,2.495381236076354980e-01,1.974644422531127930e+00,2.224182605743408203e+00
1.140000000000000000e+02,2.302992939949035645e-01,1.230714082717895508e+00,1.461013317108154297e+00
1.150000000000000000e+02,1.890916377305984497e-01,1.100122451782226562e+00,1.289214134216308594e+00
1.160000000000000000e+02,1.802990585565567017e-01,1.421080827713012695e+00,1.601379871368408203e+00
1.170000000000000000e+02,1.963060647249221802e-01,9.721646904945373535e-01,1.168470740318298340e+00
1.180000000000000000e+02,2.386567890644073486e-01,1.421087622642517090e+00,1.659744381904602051e+00
1.190000000000000000e+02,2.500166594982147217e-01,1.945712089538574219e+00,2.195728778839111328e+00
1.200000000000000000e+02,2.295212447643280029e-01,1.205372452735900879e+00,1.434893727302551270e+00
