iter,L_cont,L_mom,loss,L_gate,gate_mean,gate_min,gate_max,spatial_gate_mean,spatial_gate_min,spatial_gate_max
0.000000000000000000e+00,1.348678837530314922e-03,9.549456299282610416e-04,2.303624525666236877e-03,0.000000000000000000e+00,2.689415514469146729e-01,2.689414322376251221e-01,2.689414322376251221e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.492885872721672058e-03,8.097740355879068375e-04,2.302659908309578896e-03,0.000000000000000000e+00,2.689021229743957520e-01,2.687448859214782715e-01,2.691380679607391357e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.686928099952638149e-04,4.970501759089529514e-04,1.165742985904216766e-03,0.000000000000000000e+00,2.688329219818115234e-01,2.685504555702209473e-01,2.692218720912933350e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,2.842049289029091597e-04,3.053274413105100393e-04,5.895323702134191990e-04,0.000000000000000000e+00,2.687386870384216309e-01,2.683594226837158203e-01,2.692482769489288330e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.504241954535245895e-04,2.240526082459837198e-04,3.744768036995083094e-04,0.000000000000000000e+00,2.686428725719451904e-01,2.681831717491149902e-01,2.692562639713287354e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.838048572419211268e-05,1.933315506903454661e-04,2.917120291385799646e-04,0.000000000000000000e+00,2.685564458370208740e-01,2.680273950099945068e-01,2.692622542381286621e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,7.214614015538245440e-05,1.840201730374246836e-04,2.561663277447223663e-04,0.000000000000000000e+00,2.684824168682098389e-01,2.678927183151245117e-01,2.692717909812927246e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.547899490920826793e-05,1.818356686271727085e-04,2.373146708123385906e-04,0.000000000000000000e+00,2.684201598167419434e-01,2.677772343158721924e-01,2.692855894565582275e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,4.382937186164781451e-05,1.803490740712732077e-04,2.241784532088786364e-04,0.000000000000000000e+00,2.683678567409515381e-01,2.676780521869659424e-01,2.693025469779968262e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,3.585452213883399963e-05,1.780986058292910457e-04,2.139531279681250453e-04,0.000000000000000000e+00,2.683236598968505859e-01,2.675921022891998291e-01,2.693211138248443604e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,3.088727680733427405e-05,1.753380638547241688e-04,2.062253479380160570e-04,0.000000000000000000e+00,2.682856619358062744e-01,2.675167024135589600e-01,2.693396210670471191e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,2.816632695612497628e-05,1.726069749565795064e-04,2.007732982747256756e-04,0.000000000000000000e+00,2.682523727416992188e-01,2.674494385719299316e-01,2.693569064140319824e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.677773045434150845e-05,1.702856388874351978e-04,1.970633747987449169e-04,0.000000000000000000e+00,2.682227790355682373e-01,2.673884630203247070e-01,2.693718969821929932e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,2.582853267085738480e-05,1.682471774984151125e-04,1.940757065312936902e-04,0.000000000000000000e+00,2.681956887245178223e-01,2.673321664333343506e-01,2.693839669227600098e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.471066909492947161e-05,1.662388967815786600e-04,1.909495622385293245e-04,0.000000000000000000e+00,2.681708037853240967e-01,2.672795057296752930e-01,2.693927586078643799e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,2.322771069884765893e-05,1.640995906200259924e-04,1.873272994998842478e-04,0.000000000000000000e+00,2.681471407413482666e-01,2.672297060489654541e-01,2.693983316421508789e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,2.153966670448426157e-05,1.617562083993107080e-04,1.832958805607631803e-04,0.000000000000000000e+00,2.681246697902679443e-01,2.671823799610137939e-01,2.694007754325866699e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.987369250855408609e-05,1.591589098097756505e-04,1.790326059563085437e-04,0.000000000000000000e+00,2.681032121181488037e-01,2.671372890472412109e-01,2.694005072116851807e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.850617991294711828e-05,1.563090481795370579e-04,1.748152280924841762e-04,0.000000000000000000e+00,2.680824100971221924e-01,2.670943737030029297e-01,2.693979144096374512e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.763585351000074297e-05,1.531744055682793260e-04,1.708102645352482796e-04,0.000000000000000000e+00,2.680624723434448242e-01,2.670535743236541748e-01,2.693934440612792969e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.735050864226650447e-05,1.497177872806787491e-04,1.670682977419346571e-04,0.000000000000000000e+00,2.680431604385375977e-01,2.670149505138397217e-01,2.693875432014465332e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.769480331859085709e-05,1.458629121771082282e-04,1.635577209526672959e-04,0.000000000000000000e+00,2.680246531963348389e-01,2.669785022735595703e-01,2.693806290626525879e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.866889942903071642e-05,1.415531005477532744e-04,1.602219999767839909e-04,0.000000000000000000e+00,2.680068612098693848e-01,2.669442296028137207e-01,2.693729996681213379e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,2.023531669692602009e-05,1.367637014482170343e-04,1.569990126881748438e-04,0.000000000000000000e+00,2.679900228977203369e-01,2.669120728969573975e-01,2.693650424480438232e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,2.238462366221938282e-05,1.314706605626270175e-04,1.538552896818146110e-04,0.000000000000000000e+00,2.679736912250518799e-01,2.668820321559906006e-01,2.693569362163543701e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,2.507145472918637097e-05,1.256858959095552564e-04,1.507573470007628202e-04,0.000000000000000000e+00,2.679584622383117676e-01,2.668539583683013916e-01,2.693489193916320801e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,2.827989010256715119e-05,1.194236829178407788e-04,1.477035693824291229e-04,0.000000000000000000e+00,2.679439187049865723e-01,2.668277919292449951e-01,2.693412303924560547e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,3.198623380740173161e-05,1.127546711359173059e-04,1.447409013053402305e-04,0.000000000000000000e+00,2.679304480552673340e-01,2.668034434318542480e-01,2.693339288234710693e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,3.615617970353923738e-05,1.057621630025096238e-04,1.419183390680700541e-04,0.000000000000000000e+00,2.679177820682525635e-01,2.667807936668395996e-01,2.693271934986114502e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,4.075060132890939713e-05,9.859910642262548208e-05,1.393497077515348792e-04,0.000000000000000000e+00,2.679061293601989746e-01,2.667597234249114990e-01,2.693210542201995850e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,4.568282383843325078e-05,9.144679643213748932e-05,1.371296239085495472e-04,0.000000000000000000e+00,2.678952813148498535e-01,2.667401432991027832e-01,2.693155705928802490e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
